name,cntry,dweight,pspwght,pweight,anweight,trstprl,trstlgl
ESS11e03,AT,0.54569674,0.3900279,0.33091453,0.1290659,3,8
ESS11e03,AT,0.8567193,0.612327,0.33091453,0.2026279,2,5
ESS11e03,AT,0.8224978,2.053582,0.33091453,0.6795601,1,2
ESS11e03,AT,1.7682428,0.898574,0.33091453,0.29735118,5,7
ESS11e03,AT,0.53681755,0.5734476,0.33091453,0.18976213,10,10
ESS11e03,AT,1.658749,2.7709928,0.33091453,0.9169618,8,8
ESS11e03,AT,1.5605932,0.79305214,0.33091453,0.2624325,1,1
ESS11e03,AT,0.51291066,0.32211256,0.33091453,0.106591724,5,8
ESS11e03,AT,0.5403178,0.38618323,0.33091453,0.12779364,10,10
ESS11e03,AT,0.51820904,0.727146,0.33091453,0.24062319,7,9
ESS11e03,AT,0.90654194,0.300538,0.33091453,0.09945239,7,7
ESS11e03,AT,0.87189186,0.71365726,0.33091453,0.23615955,6,9
ESS11e03,AT,1.6209534,0.8237262,0.33091453,0.27258295,10,10
ESS11e03,AT,1.112123,0.3524553,0.33091453,0.11663257,88,9
ESS11e03,AT,0.65483123,0.3931289,0.33091453,0.13009207,6,4
ESS11e03,AT,1.6681842,1.3654329,0.33091453,0.45184156,6,7
ESS11e03,AT,1.0512191,0.28200114,0.33091453,0.093318276,9,10
ESS11e03,AT,0.47378042,0.5627301,0.33091453,0.18621555,3,4
ESS11e03,AT,1.2197962,0.7920082,0.33091453,0.26208702,7,8
ESS11e03,AT,0.919781,0.30492696,0.33091453,0.10090476,5,7
ESS11e03,AT,0.9408683,0.5016028,0.33091453,0.16598767,5,4
